race_id,furlong_times,corner1_order,corner2_order,corner3_order,corner4_order,pace_up_pos,bias_1corner,bias_2corner,bias_backstr,bias_3corner,bias_4corner,bias_straight,race_comment
202006010111,"12.6,11.1,12.8,11.7,12.0,11.8,11.7,11.7,11.4,12.7,,,,,,,,","2-(4,7)12,8(1,9,13)6(16,17)-(10,5)-11,14,3-15","2-(4,7)12(1,8,9,13)(6,16,17)-(10,5)-11-14,3-15","2,7(4,12)(8,9,13)(1,6,17)16(10,5)(11,3)-(14,15)","(*2,7)4(8,12)(1,6,9,13)(17,5)(10,16)11(15,3)14",0.0,222,222,222,422,44444,54222,荒れ馬場だが内有利。スローペースで流れ後半からジワリとペースＵＰ。番手追走した勝ち馬と好位馬群追走した２着馬が直線並んで叩き合い。
202006010112,"11.9,10.6,11.5,11.5,11.3,12.0,,,,,,,,,,,,",,,"(*15,14)(10,7)13(4,8)(5,12)2(6,9)(1,16)-11-3","(*15,14,7)(10,8)(4,13)(5,12)2(6,9)(1,16)-11,3",0.0,,,222,422,44444,54222,荒れ馬場だが内有利。スローペースで流れ番手の外追走した勝ち馬が直線５頭の叩き合いをギリギリ凌いで勝利。
202008010101,"12.6,11.4,12.2,12.3,12.1,12.1,,,,,,,,,,,,",,,"(*4,6)(12,7,13)(8,15)(10,16)(2,14)(9,11)(1,3)-5","(*4,6)(12,7)(8,13,15)10(2,16)(14,11)9(1,3)=5",0.0,,,222,222,22222,22222,湿った馬場。スローペースで流れ逃げ馬が後続を突き放して圧勝。２着は好位馬群追走した馬が浮上。
202008010102,"12.4,12.0,13.1,13.2,12.9,12.8,12.9,12.9,13.2,,,,,,,,,","2,7(1,4,11,13)9(6,15)(5,3,8,12)-10,14-16","2,7(1,11)(4,13)(6,9)(15,12)(5,3)8(10,14)-16","(*2,7)11(1,4)(9,13)(6,12)-3,15(5,8)-10,14,16","(*2,7)(1,4,11)(6,9)(3,12)-(13,8)-5(10,15,14)16",0.0,222,222,222,222,22222,22222,湿った馬場。速めの流れで上がりの掛かる消耗戦。中団の内回った勝ち馬が直線叩き合いを外から抜け出す。２着争いは３頭接戦。
202008010103,"12.5,11.4,12.3,12.4,12.4,12.5,12.9,,,,,,,,,,,",,,"(*7,10)13(1,6)8,2(5,16)(11,14)-15,12(3,9)-4","(*7,10)13,1(6,8)-2,14(11,16)5,15,12(3,9)-4",0.0,,,222,222,22222,22222,湿った馬場。平均ペースで流れ番手の外追走した勝ち馬が直線抜け出し圧勝。２着は番手追走した馬が粘り込み。
202008010104,"12.7,11.9,12.5,12.7,12.8,12.5,12.4,12.4,12.6,,,,,,,,,","(*6,8)11(7,10)(1,3)9,12,4,5","6,8(7,11)10(1,3)-9(4,12)5","(*6,8)(7,11)10,1(4,3,5)9-12","(*6,8)7(10,11)(4,3,1)-(9,5)=12",0.0,222,222,222,222,22222,22222,湿った馬場。平均ペースで流れ逃げ馬が後続を突き放し完勝。２着は番手追走した馬が粘り込み。
202008010105,"12.5,10.8,11.3,12.2,12.6,12.8,12.3,12.1,,,,,,,,,,",,,"3,6,15,4,14(8,13)1-(11,16)9,12(2,5)7,10","(3,*15)(4,6,14)(8,1,13)(11,16)(12,9)5-(10,7)-2",2.0,,,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。Ｈペースで流れ先行馬には厳しい展開。直線外から差した１・２着馬がしっかり抜け出した。３着以下は離された。
202008010106,"13.1,11.9,12.0,12.9,13.3,13.0,12.7,11.7,11.8,,,,,,,,,",,,"(*9,15)13(3,5,16)6(1,12)10,4,8(2,11)14,7","(*9,15)(13,16)(3,5,6)(1,4,12)10(2,8)(7,11,14)",2.0,,,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ好位馬群追走した勝ち馬が直線叩き合いを抜け出した。好位の内回ったが２着。
202008010107,"12.2,11.0,11.9,12.6,12.9,12.1,12.8,,,,,,,,,,,",,,"(*5,15)(4,6,10)16(1,9)14(2,13)(7,12)11(3,8)","(*5,16)(10,7)(4,15,14)6(1,11,12)(9,13)(2,3)8",0.0,,,222,222,22222,22222,湿った馬場。Ｈペースで流れ先行馬総崩れの展開。後方から勝ち馬が外捲って４角先頭に立ち抜け出した。２着争いは２頭。
202008010108,"12.3,11.2,12.7,12.9,12.8,12.3,12.5,12.5,12.6,,,,,,,,,","5-6(2,8)(4,7)-1(10,13,15)14(3,11,16)-9","5-(2,6)8,4,7,1(10,13)(14,15)(11,16)3,9","5,6,8(2,4,7,15)(14,13)16(1,10)11,9,3","5,6,8(2,4,15)7(14,13)1,16(3,11)(10,9)",4.0,222,222,222,222,22222,22222,湿った馬場。平均ペースで流れ馬群一団で直線勝負。番手した勝ち馬が直線先頭に立ち、２・３着馬の追撃を振り切って勝利。
202008010109,"12.8,11.7,13.1,13.2,12.8,12.6,11.9,11.4,11.6,12.4,,,,,,,,","3,2,5,6,1(4,7)","3,2-5(1,6)4,7","3,2(4,7,5)(1,6)","(3,*2)-7,5,4(1,6)",4.0,444,444,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ馬群一団で直線勝負。２着馬が４角で仕掛けてリードを作り、これを勝ち馬だけが捉えた形。
202008010110,"12.3,10.9,11.2,11.4,11.7,12.6,,,,,,,,,,,,",,,"15,5(4,7)12(3,6)13(1,8,10)2,14-(9,11)16","15-(4,5)7(3,12)6(1,8,13)-(2,10)14(9,11)16",0.0,,,222,222,22222,22222,湿った馬場。平均ペースで流れ逃げ馬が直線リード築き好位の内回った２着馬が猛追してきたが凌いで勝利。３着以下は離された。
202008010111,"12.1,11.0,11.8,12.2,11.9,11.9,11.4,11.7,,,,,,,,,,",,,"2,7,15(1,3,17)4,18,6(8,11)5,14(12,16,9)(13,10)","(*2,7)(1,15)(3,17)4,18(6,11)8(5,9)14(12,13,10)16",2.0,,,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。平均ペースで流れ馬群一団で直線勝負。好位の内回った勝ち馬が直線抜け出し、中団の内回った２着馬の追撃を振り切って勝利。
202008010112,"12.4,11.6,11.6,12.2,11.8,11.4,12.2,,,,,,,,,,,",,,"16,7,12(6,10)(8,15)(4,14)13(5,11)2(3,9)-1","16(7,12)(6,8,10)15(4,14)(5,11,13)2(3,9)1",0.0,,,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。平均ペースで流れ直線逃げ馬が後続を突き放し中団馬群追走した２着馬の追撃を凌いで勝利。
202006010201,"11.7,10.7,11.4,12.3,12.4,13.7,,,,,,,,,,,,",,,"(*6,11)8(4,5)(12,16)(3,7)(14,13,15)-(9,10)1=2","(*6,11)(5,8)(4,3,12)16(14,7)(10,13)9(1,15)=2",0.0,,,222,222,22222,22222,軽い馬場。Ｈペースで流れ逃げ馬が渋太く粘るが中団馬群の内回った勝ち馬だけが外から伸びて捉えた。
202006010202,"12.9,12.2,12.6,13.3,13.8,13.2,13.2,12.9,13.3,,,,,,,,,","(8,*11)(13,16)-14-7(9,15)(5,2)1-(4,10)(6,12)-3","8,11(14,13)16,7,9,15,5(1,2)-4,6,10,12-3","(*8,11)(13,4)14(7,16,15)-(9,5)2,1-6,10,12-3","(8,*11)13(14,15)(7,4)(16,1,5)-6(9,2)-12-10=3",4.0,222,222,222,222,22222,22222,軽い馬場。Ｈペースで流れ好位の外追走した勝ち馬が直線抜け出し完勝。２着は中団の内で溜めた差し馬が浮上。
202006010203,"12.7,11.7,13.1,13.2,12.6,12.8,12.8,13.4,13.5,,,,,,,,,","(*1,3)(4,2,9,5)-8(12,13)-11-15(7,14)16,6-10","(*1,3)(4,2,9)5-(8,13)12-11,15(7,14)-16,6-10","3(1,9,5,13)4-8(11,15)(2,14)(12,7)-16(6,10)","9(3,13)4-5,8-15(1,11)14,12(16,7)-(6,2)-10",5.0,222,222,222,222,22222,22222,軽い馬場。平均ペースで流れ中盤速くなる展開。番手の外追走した勝ち馬と外捲ってきた２着馬が直線叩き合って抜けだした。３着以下は離された。
202006010204,"12.3,11.1,12.2,12.7,12.7,13.1,,,,,,,,,,,,",,,"(*7,8)(10,12)(6,1,11)13,4-(14,16)15-(2,3)(5,9)","(*7,8,10,12)(6,1,11)4,13-15-(14,16,3)-(2,5)-9",0.0,,,222,222,22222,22222,軽い馬場。スローペースで流れ番手の外追走した勝ち馬が直線抜け出し完勝。２着は好位追走した馬が浮上。
202006010205,"12.6,11.7,12.9,12.0,12.6,12.0,12.3,12.1,11.5,12.5,,,,,,,,","13,14,10(16,15)8-(6,11)1,9,7,4,5,3,12,2","13,14(10,15)16-8-(6,11)1,9,7,4,5-3-12,2","13,14(10,16,15)1(8,7)(6,11)9,5,4-3=12,2","13(10,14,16,1,7)(8,15,9)11(6,5)-4,3=(12,2)",5.0,222,222,222,422,44444,54222,内ラチ沿い３頭分ほどがだいぶ荒れて外差し有利な状況。スローペースで流れ縦長展開。中団から４角で外捲った勝ち馬が直線抜け出し完勝。２着は好位馬群追走した馬が粘り込み。
202006010206,"13.0,12.3,13.5,13.3,12.7,12.8,13.2,13.3,13.9,,,,,,,,,","(*7,8)(2,5,9,13)(4,1,12)14(10,11)6(3,15)-16","(7,*8)13(2,5,9)1,4(10,12)11(6,14)-(3,15)-16","(7,*8)13(2,1)-5,4(6,12,11)-9-15,10,16(3,14)","(7,*8)(2,13)1-4-5(6,12,11)=15-(16,14)10-3,9",5.0,222,222,222,222,22222,22222,軽い馬場。平均ペースで流れ逃げた勝ち馬が渋太く粘り、好位馬群追走した２着馬の追撃を振り切って勝利。
202006010207,"13.1,11.8,12.6,13.4,14.3,14.1,13.9,12.3,12.4,12.7,12.7,13.9,,,,,,","2(4,5)(1,9)11(3,10)(6,8)-7","2(4,5)(1,9)11(3,10)(6,8)7","(*2,4,5)(9,10)3,11,7(1,6)8","(*2,4)(5,9)(3,10)-11(6,7)(1,8)",5.0,222,222,222,222,22222,22222,軽い馬場。Ｚ千班緩んだ展開で後半５Ｆ勝負。番手追走した勝ち馬が渋太く粘り、中団の内追走した２着馬の追撃を振り切って勝利。
202006010208,"12.0,10.5,11.5,12.1,12.3,13.4,,,,,,,,,,,,",,,"(*10,8)(2,14,15)16,4,6(1,12,13)-(5,3)-(9,7)11","(*10,8)15(2,14)16,4(6,12)(1,13)3,5-(9,7)-11",0.0,,,222,222,22222,22222,軽い馬場。Ｈペースで流れ番手の外回った勝ち馬が直線抜け出し完勝。２着争いは２頭接戦。
202006010209,"12.4,11.7,12.8,13.0,12.4,12.1,12.6,12.9,13.3,,,,,,,,,","7,14,15(10,13)(4,16)(1,3,11)(2,12)-5,6,8,9","7,14,15(10,13)4(3,11,16)1(2,12)-5,6-(8,9)","(*7,14,15)16(10,11)(4,13)(1,3,2)(12,6)(5,8,9)","7(14,15)16(10,11)4,1(3,2)5(8,13,6)9,12",5.0,222,222,222,222,22222,22222,軽い馬場。Ｈペースで流れ中団から直線外に出した勝ち馬が直線の叩き合いを制した形。２着争いは２頭接戦。
202006010210,"12.1,10.7,11.2,11.6,12.1,12.0,11.3,12.4,,,,,,,,,,",,"13(2,4)(3,8)9(6,12)7(5,14)10,15,11,1","13,4(2,8)(3,9)6-7,12,14(5,10,15)-11-1","(*13,8,9,6)(2,4)3,7-(14,15)10-11,12,1,5",2.0,,222,222,422,44444,54222,内ラチ沿い３頭分ほどがだいぶ荒れて外差し有利な状況。ややバラついたスタート。しばらく５頭程横並びも、２コーナー進入寸前でデンタルバルーンがズバッと出て行って強気に主張。しかしペースは速めで、デンタルバルーンも行きたがる様子。隊列は縦長。３コーナー終わり辺りからサクセッションとサクラトゥジュールの人気２頭が強気に馬体を併せつつ捲って出て、４コーナー出口は先頭５頭が横並び。直線に向いて好位からハーモニーマゼランが一歩前に出るも、直線半ばで外からジワジワサクセッションが抜け出した。離れた２着争いは３頭
202006010211,"12.1,10.5,11.2,11.3,11.4,11.9,,,,,,,,,,,,",,,"3,4(1,5)(2,11)6,7,8(9,10)","3,4(1,5)(2,11)(6,8)(9,7)10",0.0,,,222,422,44444,54222,内ラチ沿い３頭分ほどがだいぶ荒れて外差し有利な状況。若干バラけ気味のスタート。内から好スタートを決めたレジーナフォルテがアッサリハナを切り、２番手にビップライブリー。好位勢がみな手綱を引っ張っていて、平均速め程度のペースで先頭はずっと単騎で楽。レジーナフォルテは２馬身のリードを直線に向いてさらに広げたが、坂を超えた辺りで外から差し馬が猛追。ペイシャフェリシタ、ライラックカラーの２頭が猛然と迫り、最後はライラックカラーが差し切った。直線馬群の内で若干渋滞あり。
202006010212,"12.8,12.1,13.6,12.4,12.9,11.5,11.9,11.8,11.5,12.1,,,,,,,,","11,7(3,8)4(6,9)(5,10)1,2","11,7(3,8)4(6,9)(5,10)1,2","(*11,4)(3,7,8)(10,9)(6,5,2)1","(*11,4,7)(3,8,10)5(6,2)(1,9)",5.0,222,222,222,422,44444,54222,内ラチ沿い３頭分ほどがだいぶ荒れて外差し有利な状況。バラついたスタート。ヴァンランディは煽って後方から。外から押してショーンガウアーが登坂手前からハナを奪い、１コーナーを単騎でペース落して入れた。向正面では馬群ほぼ一団、かなりのスロー。中団の外からモンテグロッソがジワジワ先頭に進出、ペースが一気に上がる。ショーンガウアーは一度抵抗するが、３コーナー過ぎ残り６００ｍ標識から、馬群外をヴァンランディとヴィエナブローが接近。直線に向いて２番手モンテグロッソがジワジワ抜け出し、その後ろからトーセングラン
202008010201,"12.3,12.4,13.3,13.2,13.1,12.7,12.6,12.9,13.4,,,,,,,,,","15,9(8,7)(4,5,13)(6,10,11,14)-12,2,3-1","15,9(8,7)(4,5,13)6(10,14)12,11(3,2)-1","15(9,7)(8,4,13)-6(12,5,10)2,11-14,1-3","(*15,9,7)-(8,4,13)-(12,6)10-(11,5)(2,1)14-3",0.0,222,222,222,222,22222,22222,時計掛かる馬場。スローペースで流れ後半４Ｆ勝負。番手追走した勝ち馬が直線抜け出し押し切った。２着争いは４頭。
202008010202,"12.6,11.7,13.6,13.8,13.4,12.3,12.6,12.3,12.5,,,,,,,,,","8-9,11(1,3)(4,12)-13,6,7,5,10,14-2,16,15","8,9(1,11)(3,4,12)(13,6)-(7,5)(14,10)2-(15,16)","(*8,9,11,6)-(1,4)12,13-3,5(15,7)14-(2,10)-16","(*8,9,11,6)-(1,12)4-13-5-3-15(2,14,7)-10,16",4.0,222,222,222,222,22222,22222,時計掛かる馬場。スローペースで流れ後半４Ｆ勝負。番手追走した１・２着馬が直線抜け出し叩き合って入線。
202008010203,"12.1,11.2,11.9,12.5,12.6,12.6,13.3,,,,,,,,,,,",,,"3,4(1,5)(2,7,12)(6,8)16(10,15)11,9=14","3,4(1,5,7)2,12,6(10,15)(9,8)-11,16-14",0.0,,,222,222,22222,22222,時計掛かる馬場。Ｈペースで流れ逃げ馬が後続を寄せつけず完勝。２着争いは４頭。
202008010204,",,,,,,,,,,,,,,,,,","1=4-11=7-(12,6)10,8,5,2-9=3","1=4-11=7-12,6(8,10)-5,2-9=3","1=4,11=(12,6)=8-7,2,10,5=9=3","1=(4,11)=(12,6)-8=2,7-(10,5)-9=3",,,,,,,,京都の障害コースは全面野芝、若干芝が枯れ気味。少しバラついたスタート。最初の障害飛越でシングルアップが前に出て、どんどん飛ばして早くに１秒近いリード。ストレートパンチ、ナイトジュレップが離れた２番手で並んで追走。後続の追い上げがずっと甘く、ペースを落としているのに後続が追いついてこない。全く隊列が変わらないまま淡々と進み、直線もほぼ安全圏。ナイトジュレップがラチ沿いをジワジワ詰めてきたが、先頭には追い付けず。離れた３着にアグネスフォルテが唯一伸びてきた。
202008010205,"12.6,11.4,12.8,12.6,12.8,13.0,12.7,12.9,11.5,11.9,,,,,,,,","5-4,11(3,13)6(2,7)(8,10)9(14,16)15(1,12)","5=4-11(3,13)(2,6,7)(8,10)(9,16)(15,14)(1,12)","5,4-11(3,13)(2,7)(6,8,16)9(15,10,12)1=14","5,4,11,13(3,7)(2,8)(6,16)(9,10,12)(1,15)=14",2.0,444,444,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ離し逃げの展開。４角で後続が追いついて直線勝負。番手の外追走した勝ち馬が直線抜け出し完勝。２着は好位の内回った馬が浮上。
202008010206,"12.2,12.3,13.3,13.0,13.4,12.6,11.9,12.2,12.7,,,,,,,,,","7-6(4,8,9)2,5,3-1","7-6(8,9)4,2-5,3,1","(*7,8,1)(6,2,9)4-(3,5)","(*7,1)8(4,2,9)-6-5,3",4.0,222,222,222,222,22222,22222,時計掛かる馬場。スローペースで流れ３角で捲りが入りペースＵＰ。捲った２着馬が直線先頭に立つが、外から勝ち馬が差し切った。
202008010207,"12.5,11.2,12.6,12.9,12.8,12.8,12.0,12.1,12.0,11.9,,,,,,,,","15(4,14)(2,7)(3,9)(1,11)-12,10,5,13,6,8","15,14,4(2,7)(3,9)(1,11)-12-(5,10)13,6-8","15(14,7,10)(4,2,9,12)(3,11)(1,5)-6,13,8","(*15,7,10)(14,2,9,12)(4,11)3(1,5)(8,6)-13",4.0,444,444,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ３角で捲りが入りペースＵＰ。番手追走した勝ち馬が直線最内を抜け出した。２着は外から追い込み馬が浮上。
202008010208,"12.6,12.4,13.7,13.0,12.5,12.4,12.6,12.7,12.6,,,,,,,,,","(*2,7)(3,5)6(4,11)(1,9)(8,12)10","(*2,7)(3,5)6,4,11(1,9)(8,12)10","2,7(3,5)(6,11)4,8(1,12)9,10","2,7,5(3,6,11)(4,12)8,1,9,10",6.0,222,222,222,222,22222,22222,時計掛かる馬場。スローペースで流れロングスパート合戦。番手の外追走した勝ち馬が、外から追い込んできた２着馬と並んで抜け出し叩き合って入線。
202008010209,"12.6,11.2,12.1,12.4,12.5,12.3,12.6,12.5,12.5,12.1,12.2,,,,,,,","8-10-3,9,1-2,11(4,6)12-5-7","8-10,3,9,1-2(4,11)(6,12)-5-7","8-10-(3,9)(1,11)(2,6,12)4,5-7","8-10(3,9)(11,12)2(1,6)4(5,7)",0.0,444,444,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。Ｈペースで縦長展開。４角で馬群圧縮し中団追走した勝ち馬と大外から追い込んだ２着馬が最後抜け出し並んで入線。
202008010210,"12.6,12.0,12.7,13.0,12.3,11.7,11.0,11.5,,,,,,,,,,",,,"4,10(2,6,9)(3,11,7)8(1,5)","(*4,10,9,7)(2,6,11)(3,5)(1,8)",4.0,,,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ馬群一団で直線勝負。好位の内で溜めた勝ち馬が直線最内で接戦の叩き合いを制す。２着は番手追走した馬が粘り込み。
202008010211,"13.5,12.6,12.6,12.9,12.2,12.4,13.2,13.2,12.5,12.6,12.7,12.1,12.0,11.9,12.3,,,","10,14(1,9)(12,7)(4,3)(2,5,13)(11,8)6,15","(*10,14)(1,9)12(4,7)(5,3)2,13(6,11,8)-15","(*10,14)(1,12,9,7)(4,5)15(2,11,8)3(6,13)","(10,*14,9)(1,12,5,7,15)(4,2)8(6,11)3,13",4.0,444,444,444,444,44444,44444,開幕週も凹凸あって時計は掛かる馬場。スローペースで流れ向正面から徐々にペースＵＰ。４角で馬群圧縮し後方から外進出していた勝ち馬が直線抜け出し完勝尾。２着は中団追走した差し馬が浮上。
202008010212,"12.3,10.8,11.3,11.9,12.3,12.9,,,,,,,,,,,,",,,"6,10(1,13)14-(9,12)8,11(5,15)(3,7)2,16","6,10,13(1,14)-(9,12)(8,11)(5,15,7)(2,3)16",0.0,,,222,222,22222,22222,時計掛かる馬場。平均ペースで流れ番手追走した２頭が直線渋太く抜け出し叩き合って入線。３・４着馬だけがここに迫ってきた。
202006010301,"12.2,11.4,12.4,12.4,12.3,13.0,,,,,,,,,,,,",,,"(*14,4,5)13(1,2)9(3,6,8)11(10,12)15,7,16","14(4,5)(1,2,13)(6,8,9)3,11,12,10,15-7-16",0.0,,,222,222,22222,22222,馬場乾いてパサパサ、軽めの前有利馬場。出遅れ多数、バラバラのスタート。外で好スタートを決めたタピオカが芝スタート通過の段階でハナを確定し、手綱引っ張りながら逃げる。アースレイナが並びかけるものの、ペースはガクンと落ち込む。先団３列目までだいぶ馬群が凝縮して進む。直線に向く手前でタピオカがスパートし、ジワジワリードを広げる。２番手クサヒバリが追いつけず坂上で劣勢、タピオカは最後まで粘り腰良く押し切った。最後に大外からペルシャンジュエルが一気の伸びで２着に飛び込んだ。相当遅いペースだったのでそうは時
202006010302,"12.9,12.4,13.0,13.2,12.4,12.4,12.8,12.9,13.9,,,,,,,,,","13(2,14)8(10,7,16)(1,3,12)-4,6(5,9)-15,11","13,14(2,8)7(10,16)(1,3,12)-5(4,6)(15,9)-11","(*13,2)-(8,14)-7(16,12,9)(3,6)(10,5)(1,11)(15,4)","13-2-(8,14)-(16,9)-(7,12,6)3,5,11,10,1,15-4",5.0,222,222,222,222,22222,22222,馬場乾いてパサパサ、軽めの前有利馬場。若干バラついたスタート。外から行き脚がついたファイアランスが主張し、２番手ペイシャンジャルは一歩引いての追走。向正面で２列目内のグローサーベアが迫るも、すぐに対応してスパート開始。先行勢もバラバラで、ほとんど前の組に追い縋れない。直線に向いてファイアランスは一気に４馬身差を広げ、その後もぐんぐん離れる一方。離れた２着争いは坂上でグローサーベアが一杯になり、その内を掬ってジワジワ伸びたダルムシュタットが浮上した。
202006010303,"12.1,10.9,11.7,12.2,12.4,13.3,,,,,,,,,,,,",,,"(*13,16)9,1(6,14)(2,4,15)(11,12)(8,5,10,3)7","(*13,16)9,1,2-(6,14)4(15,12)(8,11)(5,10)(7,3)",0.0,,,222,222,22222,22222,馬場乾いてパサパサ、軽めの前有利馬場。少しバラついたスタート。しばらく半数近くの馬が併走、ダートに進入して外のキョシンタンカイとユタカサンが前に出る。向正面でウインアクティーボがジワッと１列目に並びかけるが、前半ペースはやや遅め。３コーナー過ぎから前行く３頭と後続との差が開き始める。直線に向いて逃げ粘るキョシンタンカイにウインアクティーボが並びかけ、最後まで２頭の一騎打ち。最後３歩手前でウインアクティーボが態勢有利になり、そのまま凌ぎ切った。離れた３着はユタカサンが僅かにしのいでいた。
