jockey_code,register_del_flag,register_del_date,jockey_name,jockey_kana,jockey_name_short,area_code,area_name,birthday,first_ride_year,apprentice_class,stable_code,jockey_comment,comment_date,year_leading,year_turf_wr,year_special_w,last_leading,last_turf_wr,last_special_w,data_date,year_turf_1st,year_turf_2nd,year_turf_3rd,year_turf_out,year_dirt_1st,year_dirt_2nd,year_dirt_3rd,year_dirt_out,last_turf_1st,last_turf_2nd,last_turf_3rd,last_turf_out,last_dirt_1st,last_dirt_2nd,last_dirt_3rd,last_dirt_out,total_turf_1st,total_turf_2nd,total_turf_3rd,total_turf_out,total_dirt_1st,total_dirt_2nd,total_dirt_3rd,total_dirt_out
10097,1,19920430,菅野昭夫,カンノ　アキオ,菅野昭,1,,19500101,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10098,1,19991231,田村正光,タムラ　マサミツ,田村正,1,,19490823,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10102,1,20000229,蓑田早人,ミノダ　ハヤト,蓑　田,1,,19500925,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10103,1,19940629,横田吉光,ヨコタ　ヨシミツ,横田吉,1,,19490615,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10106,1,19980120,上野清章,ウエノ　キヨアキ,上　野,2,,19500207,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10107,1,19950930,内田国夫,ウチダ　クニオ,内田国,2,,19510101,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10108,1,19930228,楠孝志,クスノキ　タカシ,楠孝志,2,,19470225,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10110,1,19930228,佐藤正雄,サトウ　マサオ,佐藤正,2,,19480101,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10112,1,19960229,西浦勝一,ニシウラ　カツイチ,西浦勝,2,,19510207,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10114,1,19920229,松田幸春,マツダ　ユキハル,松田幸,2,,19500215,1969,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10116,1,19980531,東信二,アズマ　シンジ,東,1,,19511124,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10117,1,20000331,蛯沢誠治,エビサワ　セイジ,蛯　沢,1,,19510605,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10119,1,20040930,坂井千明,サカイ　チアキ,坂　井,1,,19510214,1970,0,,ローカルでは卒のない騎乗目立ち安定株。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10120,1,19940228,柴崎勇,シバサキ　イサム,柴崎勇,1,,19490502,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10127,1,19931031,出口明見,デグチ　アケミ,出口明,1,,19490820,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10128,1,19950228,富田正信,トミタ　マサノブ,富田正,1,,19510925,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10132,1,19950228,宮田仁,ミヤタ　ヒトシ,宮田仁,1,,19510122,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10135,1,19980228,押田年郎,オシダ　トシロウ,押田年,2,,19500929,1970,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10145,1,19960229,大江原哲,オオエハラ　サトシ,大江原,1,,19530213,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10146,1,19950430,小迫次男,コサコ　ツギオ,小迫次,1,,19511114,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10147,1,19950228,中野栄治,ナカノ　エイジ,中野栄,1,,19530331,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10148,1,19970228,成島正規,ナリシマ　マサノリ,成島正,1,,19511228,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10149,1,19970228,星野忍,ホシノ　シノブ,星野忍,1,,19501229,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10151,1,20010228,小島貞博,コジマ　サダヒロ,小　島,2,,19511110,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10153,1,19950228,田所秀孝,タドコロ　ヒデタカ,田所秀,2,,19501031,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10154,1,19990228,南井克巳,ミナイ　カツミ,南　井,2,,19530117,1971,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10159,1,19950731,吉沢宗一,ヨシザワ　ソウイチ,吉沢宗,1,,19510208,1972,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10164,1,19940228,安田隆行,ヤスダ　タカユキ,安田隆,2,,19530305,1972,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10165,1,19960229,岡山定夫,オカヤマ　サダオ,岡山定,1,,19521122,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10170,1,19960408,竹原啓二,タケハラ　ケイジ,竹原啓,1,,19530829,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10171,1,19940228,橋口満朗,ハシグチ　ミツロウ,橋口満,1,,19521003,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10173,1,19940228,堀井雅広,ホリイ　マサヒロ,堀井雅,1,,19511204,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10174,1,19970731,渡部秀一,ワタナベ　シユウイチ,渡部秀,1,,19550214,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10175,1,19930228,五十嵐忠男,イガラシ　タダオ,五十嵐,2,,19521109,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10178,1,20020228,田島信行,タジマ　ノブユキ,田島信,2,,19550201,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10182,1,19930228,藤原哲朗,フジワラ　テツロウ,藤原哲,2,,19530322,1973,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10184,1,19920531,石神富士雄,イシガミ　フジオ,石神富,1,,19530814,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10185,1,19930228,蛯名信広,エビナ　ノブヒロ,蛯名信,1,,19521030,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10187,1,20010131,栗原洋一,クリハラ　ヨウイチ,栗　原,1,,19550120,1974,0,,障害専門ジョッキー,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10190,1,19941120,柴田弘之,シバタ　ヒロシ,柴田弘,1,,19540707,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10191,1,19970703,鈴木勇,スズキ　イサム,鈴木勇,1,,19510414,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10198,1,20030228,河内洋,カワチ　ヒロシ,河　内,2,,19550222,1974,0,,年だけに何が何でもていう姿勢は見られず。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10202,1,19930228,田所清広,タドコロ　キヨヒロ,田所清,2,,19560208,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10206,1,19970228,西園正都,ニシゾノ　マサト,西園正,2,,19551229,1974,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10209,1,20050228,加藤和宏,カトウ　カズヒロ,加藤和,1,,19560304,1975,0,,極端な騎乗多いが馬場読み的確で穴で注意,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10210,1,19950630,木藤隆行,キフジ　タカユキ,木藤隆,1,,19570207,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10212,1,19950930,佐藤照雄,サトウ　テルオ,佐藤照,1,,19561025,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10214,1,19980228,津留千彰,ツル　チアキ,津　留,1,,19560423,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10216,1,20010228,的場均,マトバ　ヒトシ,的　場,1,,19570325,1975,0,,調教師目指し、色んな厩舎の馬乗るようなっ,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10217,1,19980320,小谷内秀夫,コヤウチ　ヒデオ,小谷内,2,,19480608,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10218,1,19980220,斉藤博美,サイトウ　ヒロミ,斎藤博,2,,19520330,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10220,1,19920331,須崎昇,スザキ　ノボル,須崎昇,2,,19520102,1975,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10221,1,20031220,村本善之,ムラモト　ヨシユキ,村　本,2,,19550607,1975,0,,中尾正厩舎、ビッグ馬主の馬は要注意!!,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10223,1,19950228,池田賀一,イケダ　ヨシカズ,池田賀,1,,19570409,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10224,1,20030228,今井規和,イマイ　ノリカズ,今　井,1,,19571108,1976,0,,障害専門ジョッキー,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10227,1,19920430,関野弘行,セキノ　ヒロユキ,関野弘,1,,19570110,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10228,1,19970331,津曲幸夫,ツマガリ　サチオ,津曲幸,1,,19530301,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10230,1,20010228,成田均,ナリタ　ヒトシ,成　田,1,,19570426,1976,0,,障害専門ジョッキー,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10231,1,19970228,本間忍,ホンマ　シノブ,本間忍,1,,19570728,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10232,1,19960229,牧之瀬幸夫,マキノセ　サチオ,牧之瀬,1,,19561116,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10234,1,19930228,加用正,カヨウ　タダシ,加用正,2,,19530517,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10237,1,19930228,平田秀也,ヒラタ　ヒデヤ,平田秀,2,,19510703,1976,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10239,1,19970630,臼井武,ウスイ　タケシ,臼井武,1,,19530914,1977,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10241,1,20060228,大塚栄三郎,オオツカ　エイザブロウ,大　塚,1,,19531112,1977,0,,ハナに行くと決めたら譲らない,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10243,1,19970228,塚越一弘,ツカゴシ　カズヒロ,塚越一,1,,19580314,1977,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10244,1,19970228,根本康広,ネモト　ヤスヒロ,根本康,1,,19560131,1977,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10245,1,19960229,黛幸弘,マユズミ　ユキヒロ,黛幸弘,1,,19571114,1977,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10250,1,19970228,猿橋重利,サルハシ　シゲトシ,猿橋重,2,,19561024,1977,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10251,1,20020228,松永昌博,マツナガ　マサヒロ,松永昌,2,,19531217,1977,0,,終いの甘さが目立つ,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10252,1,20051231,大江原隆,オオエハラ　タカシ,大江原,1,,19571126,1978,0,,一時期の活躍が影を潜め,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10254,1,19970731,酒井健二,サカイ　ケンジ,酒井健,1,,19580127,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10255,1,19980930,菅原隆明,スガハラ　タカアキ,菅　原,1,,19591116,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10259,1,19960630,安藤賢一,アンドウ　ケンイチ,安藤賢,2,,19580929,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10261,1,20080731,嘉堂信雄,カドウ　ノブオ,嘉　堂,2,,19530728,1978,0,,飛越時に手綱放すのは特徴、見せ鞭も光る,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10263,1,19990228,古小路重男,コショウジ　シゲオ,古小路,2,,19571113,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10265,1,19980228,田原成貴,タバラ　セイキ,田　原,2,,19590115,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10266,1,19940228,栩原一男,トチハラ　カズオ,栩原一,2,,19570702,1978,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10267,1,19940429,柏崎正次,カシワザキ　マサツグ,柏崎正,1,,19591028,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10269,1,19980228,佐藤吉勝,サトウ　ヨシカツ,佐藤吉,1,,19571104,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10270,1,20091031,田中剛,タナカ　ツヨシ,田中剛,1,,19610213,1979,0,,人気薄での思い切った逃げが魅力,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10271,1,20020430,森安輝正,モリヤス　テルマサ,森　安,1,,19590315,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10273,1,19940530,安達昭夫,アダチ　アキオ,安達昭,2,,19591027,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10274,1,19970331,梅野信一,ウメノ　シンイチ,梅野信,2,,19590303,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10275,1,19930228,音無秀孝,オトナシ　ヒデタカ,音無秀,2,,19540610,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10276,1,20011220,栗田伸一,クリタ　シンイチ,栗　田,2,,19590410,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10277,1,19940530,出口敏幸,デグチ　トシユキ,出口敏,2,,19550512,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10280,1,19960320,溝橋秀吉,ミゾハシ　ヒデヨシ,溝橋秀,2,,19570528,1979,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10281,1,20061217,大西直宏,オオニシ　ナオヒロ,大　西,1,,19610914,1980,0,,ローカルでの馬場選択は一級品,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10284,1,20000420,酒井浩,サカイ　ヒロシ,酒井浩,2,,19551025,1980,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10286,1,20070228,本田優,ホンダ　マサル,本　田,2,,19590104,1980,0,,横綱競馬ばかりで馬を信じすぎ。先行すれば,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10287,1,19920703,丸山勝秀,マルヤマ　カツヒデ,丸山勝,2,,19590930,1980,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10289,1,19930331,伊藤栄,イトウ　サカエ,伊藤正,1,,19470123,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10290,1,19980331,蛯名利弘,エビナ　トシヒロ,蛯名利,1,,19610310,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10291,1,19980531,篠原茂,シノハラ　シゲル,篠　原,1,,19610929,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10292,1,19971130,平目孝志,ヒラメ　タカユキ,平　目,1,,19600105,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10294,1,20000229,小屋敷昭,コヤシキ　アキラ,小屋敷,2,,19610304,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10295,1,19950920,東田幸男,ヒガシダ　ユキオ,東田幸,2,,19581106,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10296,1,19960229,宮徹,ミヤ　トオル,宮　徹,2,,19600711,1981,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10297,1,19980430,菊川正達,キクカワ　マサタツ,菊　川,1,,19621117,1982,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10298,1,19950228,杉浦宏昭,スギウラ　ヒロアキ,杉浦宏,1,,19600803,1982,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10299,1,19941122,関口睦介,セキグチ　ムツユキ,関口睦,1,,19630320,1982,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10301,1,20060331,三浦堅治,ミウラ　ケンジ,三　浦,1,,19621227,1982,0,,障害専門。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10302,1,20030420,岡冨俊一,オカトミ　シュンイチ,岡　冨,2,,19610805,1982,0,,ほとんど障害だけ,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10303,1,20000831,北村卓士,キタムラ　タカシ,北村卓,2,,19560927,1982,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10304,1,20040430,土肥幸広,ドヒ　ユキヒロ,土　肥,2,,19611125,1982,0,,以前のローカル大将のイメージなくなり,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10306,1,20121130,田面木博公,タモギ　ヒロマサ,田面木,1,,19620530,1983,0,,コーナーの捌きは上手い。乗り替わりで注意,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10307,1,19980131,原昌久,ハラ　マサヒサ,原,1,,19611201,1983,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10308,1,19961130,細川英二,ホソカワ　エイジ,細川英,1,,19620224,1983,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10309,1,20030630,菅谷正巳,スガヤ　マサミ,菅　谷,2,,19610722,1983,0,,人気薄でも行き切れる展開になれば。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10310,1,20030228,原田聖二,ハラダ　セイジ,原　田,2,,19600430,1983,0,,先行してなんぼ,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10311,1,19990228,増井裕,マスイ　ヒロシ,増　井,2,,19640301,1983,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10312,1,20021031,松本達也,マツモト　タツヤ,松　本,2,,19641203,1983,0,,不良馬場ではせこ手に要注意,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10313,1,20180331,木幡初広,コワタ　ハツヒロ,木幡広,1,,19650614,1984,0,,小回りで内突く競馬は得意。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10314,1,19980228,坂本勝美,サカモト　カツミ,坂本勝,1,,19641214,1984,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10315,1,20070228,鹿戸雄一,シカト　ユウイチ,鹿　戸,1,,19620523,1984,0,,内枠からの捌きはかなり年季を感じる上手さ,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10316,1,20040229,鈴木寿,スズキ　ヒトシ,鈴　木,1,,19620728,1984,0,,中山ダ1200は注意！,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10317,1,20060228,天間昭一,テンマ　ショウイチ,天　間,1,,19650226,1984,0,,ダート短距離なら。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10318,1,20150228,中舘英二,ナカダテ　エイジ,中　舘,1,,19650722,1984,0,,売り切れるまで押し続ける。いい方に転べば,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10320,1,20101031,出津孝一,イデツ　コウイチ,出　津,2,,19640603,1984,0,,嘉堂Jとの競り合いは見物,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10321,1,20030420,内山正博,ウチヤマ　マサヒロ,内　山,2,,19630319,1984,0,,腰の具合が芳しくないのか、腰が落ちている,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10322,1,19980228,中竹和也,ナカタケ　カズヤ,中　竹,2,,19641126,1984,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10323,1,20000229,岩戸孝樹,イワト　タカキ,岩　戸,1,,19660723,1985,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10324,0,00000000,柴田善臣,シバタ　ヨシトミ,柴田善,1,,19660730,1985,0,,平場では頼れるが、大一番では疑問,20020815,23.0,1.0,0.0,52.0,1.0,0.0,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10325,1,20010131,玉井智光,タマイ　トモミツ,玉　井,1,,19661112,1985,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10326,1,20040731,谷中公一,ヤナカ　コウイチ,谷　中,1,,19651103,1985,0,,ローカルでまくり決める,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10327,1,20130228,石橋守,イシバシ　マモル,石橋守,2,,19661023,1985,0,,枠に関係なく道中は外々の競馬多い,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10328,1,20020228,上籠勝仁,ウエゴモリ　カツヒト,上　籠,2,,19670306,1985,0,,血縁の関係で山内厩舎の馬に騎乗,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10329,1,20040205,柿元嘉和,カキモト　ヨシカズ,柿　元,2,,19660123,1985,0,,騎乗機会恵まれず。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10330,1,20080229,須貝尚介,スガイ　ナオスケ,須　貝,2,,19660603,1985,0,,ペース配分できない。行ってどこまで,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10331,1,20101220,田島裕和,タジマ　ヒロカズ,田島裕,2,,19660628,1985,0,,先行馬では結果出るが…,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10334,1,20040229,山田和広,ヤマダ　カズヒロ,山田和,2,,19661016,1985,0,,所属坪正厩舎の騎乗が多い,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10335,1,20000531,瀬古正明,セコ　マサアキ,瀬　古,1,,19670408,1986,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10336,1,20040229,古川寛和,フルカワ　ヒロカズ,古川寛,1,,19651106,1986,0,,騎乗機会恵まれず。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10337,1,20010228,武藤善則,ムトウ　ヨシノリ,武　藤,1,,19670321,1986,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10339,0,00000000,横山典弘,ヨコヤマ　ノリヒロ,横山典,1,,19680223,1986,0,,重賞で関西ば騎乗なら常に警戒必要,20080626,19.0,2.0,0.0,9.0,13.0,1.0,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10340,1,19961031,大森勇一,オオモリ　ユウイチ,大森勇,2,,19611216,1986,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10341,1,19980228,北川和典,キタガワ　カズノリ,北　川,2,,19680324,1986,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10342,1,20020610,清山宏明,キヨヤマ　ヒロアキ,清　山,2,,19680313,1986,0,,騎乗馬めっきり減るがたまに領家厩舎の馬で,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
