race_id,date,course,race_num,race_name,condition,num_horses,distance,top1_num,top1_score,p_calibrated,ev_top1,s7_pass,v2_recommended,v2_bet_size,v2_reason
202605020603,20260510,東京,3,3歳未勝利,C,18,1600,10,0.5665559491470952,0.6965891644029666,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020604,20260510,東京,4,3歳未勝利,A,14,2000,4,0.4269495941143499,0.5988647158800449,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020605,20260510,東京,5,3歳1勝クラス,C,16,2100,16,0.7286035919283769,0.8100225143498638,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020606,20260510,東京,6,4歳以上1勝クラス,D,11,1400,8,0.5900624530489096,0.7130437171342368,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020607,20260510,東京,7,4歳以上1勝クラス,D,16,1300,12,0.586538769795741,0.7105771388570187,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020608,20260510,東京,8,4歳以上2勝クラス,D,11,1400,7,0.7231442287530053,0.8062009601271036,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020609,20260510,東京,9,日吉特別,A,9,2100,7,0.6264381709301663,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202605020610,20260510,東京,10,メトロポリタンS,A,12,2400,5,0.6319201072677951,0.7423440750874566,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020611,20260510,東京,11,NHKマイルC,C,18,1600,12,0.7034347260386643,0.792404308227065,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020612,20260510,東京,12,立夏S,C,15,1600,13,0.645802236525915,0.7520615655681404,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
