feature,category,gain_pct,state,dead_0620_healthy,dead_0809_degraded,supply,alt_verification
jrdb_ranch_rank,JRDB系,0.066,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_stable_rank,JRDB系,0.063,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_training_arrow,JRDB系,0.042,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_stable_eval,JRDB系,0.012,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_running_style,JRDB系,0.089,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_dist_apt,JRDB系,0.048,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_idm,JRDB系,0.607,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_track_bias,JRDB系,0.147,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_interference,JRDB系,0.009,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_late_start,JRDB系,0.019,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_pace_idx,JRDB系,0.21,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_prev_rise_code,JRDB系,0.002,恒常定数(設計上),1,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_oikiri_idx,JRDB系,0.125,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_ten_time_idx,JRDB系,0.079,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_shimai_time_idx,JRDB系,0.097,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_cid_idx,JRDB系,0.123,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_ls_idx,JRDB系,0.044,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_kta_idm,JRDB系,0.205,8/15回復見込み(供給復旧済),0,1,jrdb_kta.csv,
jrdb_kta_ten_pred,JRDB系,0.173,8/15回復見込み(供給復旧済),0,1,jrdb_kta.csv,
jrdb_kta_agari_pred,JRDB系,0.149,8/15回復見込み(供給復旧済),0,1,jrdb_kta.csv,
jrdb_ze_idm_avg,JRDB系,9.941,8/15回復見込み(供給復旧済),0,1,"jrdb_ze.csv(ZED,stale可)",
jrdb_ze_ten_avg,JRDB系,2.072,8/15回復見込み(供給復旧済),0,1,"jrdb_ze.csv(ZED,stale可)",
jrdb_ze_agari_avg,JRDB系,0.631,8/15回復見込み(供給復旧済),0,1,"jrdb_ze.csv(ZED,stale可)",
jrdb_ze_furi_count,JRDB系,0.081,8/15回復見込み(供給復旧済),0,1,"jrdb_ze.csv(ZED,stale可)",
jrdb_tb_homestr_inner,JRDB系,0.073,恒常定数(設計上),1,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_dam_rensho_avg,JRDB系,0.283,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_bms_rensho_avg,JRDB系,0.174,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
stable_comment_score,premium,0.011,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,代替なし(コメント本文はJRDBに無し)
oz_tansho_base_log,JRDB系,0.154,8/15回復見込み(供給復旧済),0,1,JRDB KYI基準オッズ,
oz_fukusho_base_log,JRDB系,0.215,8/15回復見込み(供給復旧済),0,1,JRDB KYI基準オッズ,
oz_base_pop_rank,JRDB系,0.178,8/15回復見込み(供給復旧済),0,1,JRDB KYI基準オッズ,
odds_change_rate,BASE,0.084,8/15回復見込み(要実測),0,1,netkeiba公開オッズAPI(朝→現在),"生存供給あり。ただし学習値はS1リーク(+0.0037嵩上げ,6/11監査)"
pop_rank_change,BASE,1.0,8/15回復見込み(要実測),0,1,netkeiba公開オッズAPI(朝→現在),"生存供給あり。ただし学習値はS1リーク(+0.0037嵩上げ,6/11監査)"
odds_sharp_drop,BASE,0.001,恒常定数(設計上),1,1,netkeiba公開オッズAPI(朝→現在),"生存供給あり。ただし学習値はS1リーク(+0.0037嵩上げ,6/11監査)"
weight_ma5,BASE,0.301,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
weight_trend,BASE,0.246,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
weight_peak_diff,BASE,0.055,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
paci_manken_idx,JRDB系,0.163,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_goal_rank,JRDB系,0.97,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_dochu_rank,JRDB系,0.234,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_goal_diff,JRDB系,0.258,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_jockey_exp_wr,JRDB系,15.046,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_jockey_exp_3rd,JRDB系,17.78,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_ninki_idx,JRDB系,16.676,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
jockey_horse_rides,BASE,0.068,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
jockey_horse_wr,BASE,0.054,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
jockey_horse_top3r,BASE,0.085,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
jockey_change,BASE,0.009,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
jockey_change_to_top,BASE,0.007,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
transport_distance_km,BASE,0.403,8/15回復見込み(要実測),0,1,基幹DB(jra_races/TARGET系)+派生,
is_long_transport,BASE,0.004,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
course_renovated,BASE,0.004,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
post_renovation_flag,BASE,0.014,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
gaisha_rank,BASE,0.0,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
paci_sogo_mark,JRDB系,1.032,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_idm_mark,JRDB系,0.414,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_jockey_mark,JRDB系,0.029,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
paci_train_mark,JRDB系,0.019,8/15回復見込み(供給復旧済),0,1,jrdb_paci.csv(KYI前日版),
